step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
15,PAYMENT,33517.39,C1957767353,0.0,0.0,M1167294152,0.0,0.0,0.0,0.0
16,CASH_OUT,345305.15,C1694806061,53480.0,0.0,C805150825,256281.67,690455.66,0.0,0.0
34,CASH_OUT,362498.62,C731735661,1679.0,0.0,C1628577870,312389.83,674888.45,0.0,0.0
13,TRANSFER,40893.66,C953278541,41070.0,176.34,C1809135993,0.0,40893.66,0.0,0.0
20,TRANSFER,139091.08,C1953364781,18542.17,0.0,C228825613,915220.93,1054312.01,0.0,0.0
11,CASH_OUT,79731.71,C2130788610,0.0,0.0,C1988152146,306907.66,561446.12,0.0,0.0
11,CASH_OUT,285365.51,C97810592,147.0,0.0,C211193214,0.0,505912.83,0.0,0.0
33,PAYMENT,1722.34,C1253827912,0.0,0.0,M1464476038,0.0,0.0,0.0,0.0
14,PAYMENT,5660.42,C1569488528,0.0,0.0,M25900558,0.0,0.0,0.0,0.0
13,TRANSFER,499612.48,C2136345826,0.0,0.0,C1928995349,1484742.39,2460585.89,0.0,0.0
19,PAYMENT,12088.23,C1781944094,0.0,0.0,M565428185,0.0,0.0,0.0,0.0
12,TRANSFER,1058195.0,C867260421,202613.0,0.0,C2138476233,0.0,967143.06,0.0,0.0
14,CASH_OUT,184902.49,C451165075,0.0,0.0,C377957453,1755141.45,2045601.97,0.0,0.0
14,CASH_OUT,217969.02,C833154787,919626.0,701656.98,C592088095,728053.82,1785157.38,0.0,0.0
11,CASH_OUT,35842.75,C163156146,0.0,0.0,C988406186,10071627.31,10508059.16,0.0,0.0
9,CASH_OUT,145537.24,C1224287356,101070.0,0.0,C2049813033,3282363.6,3268706.92,0.0,0.0
20,CASH_IN,120758.34,C837312874,21222.0,141980.34,C978470049,2106257.07,1985498.73,0.0,0.0
16,PAYMENT,8211.29,C1352315821,150986.7,142775.42,M1022813445,0.0,0.0,0.0,0.0
16,PAYMENT,12120.79,C157943446,0.0,0.0,M841312012,0.0,0.0,0.0,0.0
9,CASH_OUT,469353.61,C1877368306,0.0,0.0,C1696758742,18566910.59,20198404.74,0.0,0.0
10,PAYMENT,11244.72,C1841464648,51907.0,40662.28,M1394058512,0.0,0.0,0.0,0.0
15,CASH_OUT,252070.52,C1999563112,0.0,0.0,C170592741,978912.99,1230983.51,0.0,0.0
16,CASH_IN,313601.59,C243028536,30530.89,344132.49,C1277716905,2452208.19,2138606.59,0.0,0.0
1,CASH_OUT,312471.16,C901689694,0.0,0.0,C1789550256,1803420.75,4619798.56,0.0,0.0
15,PAYMENT,28251.81,C1423186898,414014.86,385763.05,M1811410581,0.0,0.0,0.0,0.0
20,PAYMENT,5938.1,C38332593,0.0,0.0,M1636350180,0.0,0.0,0.0,0.0
20,TRANSFER,359031.35,C1794862813,314981.71,0.0,C2052619908,804921.94,1163953.29,0.0,0.0
19,PAYMENT,12146.6,C2030153550,47247.18,35100.58,M1440856925,0.0,0.0,0.0,0.0
9,CASH_OUT,325305.08,C1837707303,0.0,0.0,C2091209617,889730.41,1215035.49,0.0,0.0
34,CASH_OUT,140777.34,C2065267327,0.0,0.0,C2074285009,2360537.21,2501314.54,0.0,0.0
16,CASH_OUT,214357.5,C767293272,0.0,0.0,C1254211980,968524.85,1182882.35,0.0,0.0
15,PAYMENT,14775.31,C2133210745,1024.0,0.0,M1685932313,0.0,0.0,0.0,0.0
7,CASH_IN,32923.07,C518757980,5835037.54,5867960.61,C1013700132,1464609.4,1431686.33,0.0,0.0
14,CASH_OUT,472425.15,C2014694776,20292.0,0.0,C429286458,347195.35,543308.91,0.0,0.0
8,CASH_IN,125754.75,C733676262,2056248.91,2182003.66,C121523915,439322.26,256174.25,0.0,0.0
16,CASH_IN,161774.59,C414145770,5315155.1,5476929.68,C1067076115,1635558.59,1955968.85,0.0,0.0
12,TRANSFER,1030221.11,C1636619361,0.0,0.0,C1393541714,1047238.93,2862727.75,0.0,0.0
33,CASH_IN,192733.0,C762985988,10295.0,203028.0,C1780987237,2544306.02,2351573.02,0.0,0.0
18,CASH_IN,135114.1,C1320228215,140874.0,275988.1,C331663655,111697.0,0.0,0.0,0.0
19,CASH_OUT,116114.32,C1467009491,0.0,0.0,C1505217516,561625.61,677739.93,0.0,0.0
21,PAYMENT,16953.35,C1386484174,146777.88,129824.53,M1887521574,0.0,0.0,0.0,0.0
21,CASH_OUT,71768.3,C636288840,0.0,0.0,C1643556001,952952.61,1024720.9,0.0,0.0
17,CASH_OUT,141191.7,C1105394810,400784.0,259592.3,C1907606183,953274.82,1094466.52,0.0,0.0
17,CASH_IN,175065.57,C1829924936,1440773.85,1615839.42,C2063275841,2683271.88,2801177.46,0.0,0.0
33,CASH_IN,195774.49,C409912201,10866058.88,11061833.36,C1191955245,746005.19,550230.7,0.0,0.0
19,TRANSFER,63001.79,C1406332273,0.0,0.0,C1674949129,187924.27,250926.06,0.0,0.0
9,PAYMENT,8175.05,C1447481446,512193.23,504018.18,M14764467,0.0,0.0,0.0,0.0
17,CASH_OUT,61754.24,C433035685,0.0,0.0,C1540270363,4651784.28,4713538.53,0.0,0.0
12,CASH_OUT,5252.39,C175019956,0.0,0.0,C239362370,24437.0,0.0,0.0,0.0
17,CASH_OUT,90859.69,C1891608677,0.0,0.0,C1861324880,460502.18,495765.13,0.0,0.0
19,CASH_OUT,39502.61,C1451623093,0.0,0.0,C1292185759,2668536.03,2708038.64,0.0,0.0
8,PAYMENT,26718.83,C2108108478,0.0,0.0,M184710968,0.0,0.0,0.0,0.0
15,CASH_OUT,18326.17,C1110322275,80778.0,62451.83,C568870786,329846.97,348173.14,0.0,0.0
9,CASH_OUT,471075.74,C1084869076,51955.46,0.0,C675987048,822323.42,1240743.88,0.0,0.0
21,CASH_IN,501283.6,C60474369,3817359.72,4318643.32,C1948810229,4350865.21,3849581.62,0.0,0.0
17,CASH_IN,224790.71,C307381012,571.0,225361.71,C1687680695,19829.0,0.0,0.0,0.0
20,PAYMENT,8483.75,C1667505475,10128.0,1644.25,M479945468,0.0,0.0,0.0,0.0
18,PAYMENT,63.35,C584317034,573.0,509.65,M2071912755,0.0,0.0,0.0,0.0
11,PAYMENT,2939.93,C1068088554,0.0,0.0,M130398574,0.0,0.0,0.0,0.0
11,PAYMENT,429.05,C1023587009,0.0,0.0,M1918990776,0.0,0.0,0.0,0.0
